Item,x,y,z,R,e
1,151.9586,75.18813,1.31266,1.49821,0.03122
H06,80.07209,74.89997,1.5932,1.56301,0.08978
Midpoint-1,116.01535,75.04405,1.45293,,
Point-1,116.01535,62.04405,0.0,,
Point-2,0.0,-12.0,0.0,,
H09,36.05303,11.91632,0.13895,1.58489,0.17697
H04,-34.71314,21.37538,0.17795,1.6213,0.12281
H01,-34.63755,53.51366,0.17637,1.5717,0.12319
H02,-2.62733,53.52813,0.12495,1.55596,0.10062
H03_-xy,-2.88455,21.8256,0.16327,1.60867,0.02604
H03_x-y,-2.28832,21.4274,-0.29222,1.51686,0.03025
H10_-xy,35.87819,-20.09661,-0.40112,1.64126,0.03921
10_x-y,36.27608,-20.20708,-0.43215,1.56146,0.06587
H12_-xy,-4.3553,-19.8719,0.15097,1.65393,0.05227
H12_x-y,-3.89002,-20.47003,0.15097,1.90469,0.19833
Point-3,-7.98592,-16.09708,0.16547,,
Point-4,-19.09255,-16.06037,0.16547,,
Point-5,-19.0483,-4.95723,0.16547,,
Distance-1(ID:19) between Point-3(ID:16) and Point-4(ID:17),11.10669,11.10669,,,
Distance-2(ID:20) between Point-4(ID:17) and Point-5(ID:18),11.10322,11.10322,,,
Point-6,-32.00006,8.10594,0.16547,,
Point-7,-20.89663,8.06145,0.16547,,
Point-8,-20.94232,-3.04259,0.16547,,
Point-9,-32.04007,-2.99617,0.16547,,
Midpoint-2,-26.44834,8.0837,0.16547,,
Midpoint-3,-20.91948,2.50943,0.16547,,
Midpoint-4,-26.49119,-3.01938,0.16547,,
Midpoint-5,-32.02006,2.55488,0.16547,,
Distance-3(ID:29) between Point-6(ID:21) and Point-7(ID:22),11.10351,11.10351,,,
Distance-4(ID:30) between Point-7(ID:22) and Point-8(ID:23),11.10414,11.10414,,,
