Item,x,y,z,R,e
Origin1,114.88387,71.74695,1.6114,,
Xalign,151.0193,71.87966,1.611,,
NewOrigin,0.0,-12.0,0.0,,
Point-71,-20.95769,39.98694,0.1677,,
Point-72,-20.95429,51.08443,0.1677,,
Point-73,-32.04949,51.09223,0.1677,,
Midpoint-39,-20.95599,45.53568,0.1677,,
Midpoint-40,-26.50189,51.08833,0.1677,,
Point-74,-19.04465,51.08108,0.1673,,
Point-75,-7.94534,51.07968,0.1673,,
Point-76,-7.94568,39.988,0.1673,,
Midpoint-41,-13.495,51.08038,0.1673,,
Midpoint-42,-7.94551,45.53384,0.1673,,
Point-77,-32.05727,38.08386,0.1673,,
Point-78,-20.95486,38.07818,0.1673,,
Point-79,-20.95847,26.979,0.1673,,
Midpoint-43,-26.50606,38.08102,0.1673,,
Midpoint-44,-20.95666,32.52859,0.1673,,
Point-80,-19.05155,38.0771,0.1673,,
Point-81,-7.9418,38.07533,0.1673,,
Point-82,-7.95321,26.98593,0.1673,,
Midpoint-45,-13.49668,38.07621,0.1673,,
Midpoint-46,-7.9475,32.53063,0.1673,,
Distance-4(ID:24) between Point-82(ID:21) and Point-81(ID:20),11.08941,11.08941,,,
Distance-5(ID:25) between Point-81(ID:20) and Point-80(ID:19),11.10975,11.10975,,,
