Item,x,y,z,R,e
Origin1,114.88387,71.74695,1.6114,,
Xalign,151.0193,71.87966,1.611,,
NewOrigin,0.0,-12.0,0.0,,
Point-83,-31.98602,8.0837,0.1049,,
Point-84,-20.88271,8.07999,0.1048,,
Point-85,-20.88243,-3.01639,0.1049,,
Midpoint-47,-26.43436,8.08184,0.10485,,
Midpoint-48,-20.88257,2.5318,0.10485,,
Point-86,-18.97942,8.08544,0.1049,,
Point-87,-7.87757,8.0837,0.1049,,
Point-88,-7.87528,-3.01545,0.1049,,
Midpoint-49,-13.42849,8.08457,0.1049,,
Midpoint-50,-7.87642,2.53413,0.1049,,
Point-89,-31.98241,-4.92479,0.1049,,
Point-90,-20.88519,-4.9245,0.1049,,
Point-91,-20.88284,-16.0245,0.1048,,
Midpoint-51,-26.4338,-4.92465,0.1049,,
Midpoint-52,-20.88401,-10.4745,0.10485,,
Point-92,-18.98045,-4.92039,0.1049,,
Point-93,-7.87969,-4.91988,0.1049,,
Point-94,-7.87945,-16.02756,0.1049,,
Midpoint-53,-13.43007,-4.92013,0.1049,,
Midpoint-54,-7.87957,-10.47372,0.1049,,
Point-95,8.03423,8.08598,0.1049,,
Point-96,19.13117,8.08629,0.1049,,
Point-97,19.13926,-3.01039,0.1049,,
Midpoint-55,13.5827,8.08613,0.1049,,
Midpoint-56,19.13521,2.53795,0.1049,,
Point-98,21.03554,8.08509,0.1049,,
Point-99,32.13932,8.09162,0.1049,,
Point-100,32.14542,-3.0073,0.1049,,
Midpoint-57,26.58743,8.08835,0.1049,,
Midpoint-58,32.14237,2.54216,0.1049,,
Point-101,8.03508,-4.92452,0.1049,,
Point-102,19.13255,-4.92037,0.1049,,
Point-103,19.1338,-16.01394,0.1049,,
Midpoint-59,13.58381,-4.92244,0.1049,,
Midpoint-60,19.13317,-10.46715,0.1049,,
Point-104,21.03778,-4.92244,0.1049,,
Point-105,32.14437,-4.92205,0.1048,,
Point-106,32.1425,-16.01779,0.1049,,
Midpoint-61,26.59107,-4.92225,0.10485,,
Midpoint-62,32.14343,-10.46992,0.10485,,
