Item,x,y,z,R,e
H03_-xy,-4.21927,23.30189,0.05647,1.71381,0.07989
H03_x-y,-3.64409,22.67793,0.0566,1.51228,0.01277
H10_-xy,35.77437,-19.523,0.0221,1.54904,0.0212
H10_x-y,36.75068,-20.63852,-0.1235,1.49154,0.2198
H12_x-y,-3.60207,-20.11376,-0.0209,1.6993,0.09414
H12_-xy,-4.25326,-19.68352,0.01,1.5511,0.00669
Point-109,-38.41549,16.63422,0.6433,,
Point-110,41.55947,16.67871,0.3226,,
Point-111,41.59068,-23.29786,0.1401,,
Point-113,-38.37339,-23.3314,0.5291,,
Midpoint-63,1.57199,16.65647,0.48295,,
Midpoint-64,41.57507,-3.30957,0.23135,,
Midpoint-65,1.60864,-23.31463,0.3346,,
Midpoint-66,-38.39444,-3.34859,0.5862,,
IntersectPoint-3,1.59032,-3.32908,0.0,,
H09R,-35.9869,16.01272,0.57072,1.50499,0.0271
H08R,-3.97221,16.01656,0.1461,1.50371,0.04259
H07R,4.07606,16.08851,0.13456,1.50875,0.03134
H06R,36.42722,15.93195,0.18989,1.50888,0.03159
H05R,36.04166,-15.99432,0.0809,1.50289,0.00612
H11R,-4.02136,-16.05927,-0.16066,1.50118,0.03246
