Item,x,y,z,R,e
H10R_xy,-35.56667,-15.47803,0.13803,1.48028,0.01609
H10R_-x-y,-36.43678,-16.04276,0.4651,1.3912,0.03928
H12R_xy,4.30483,-15.97735,0.0165,1.45003,0.02227
H12R_-x-y,3.81853,-16.2197,-0.0694,1.49981,0.01105
Point-120,-40.78957,62.41913,0.2671,,
Point-121,-0.78744,62.42135,0.1536,,
Point-122,-0.77218,22.43091,0.2036,,
Point-123,-40.75311,22.42293,0.3345,,
Midpoint-67,-20.78851,62.42024,0.21035,,
Midpoint-68,-20.76265,22.42692,0.26905,,
Midpoint-70,-0.77981,42.42613,0.1786,,
Midpoint-71,-40.77134,42.42103,0.3008,,
IntersectPoint-4,-20.77558,42.42358,0.0,,
H02R,-15.9403,16.04088,0.03681,1.50866,0.03498
01R,16.11515,15.97752,-0.14913,1.50187,0.02282
04R,16.0302,-16.25534,0.1492,1.51212,0.03285
