Item,x,y,z,R,e
Origin1,116.01535,75.04405,1.45293,,
Xalign,151.9586,75.18813,1.5,,
NewOrigin,0.0,-12.0,0.0,,
Point-20-start-run-all,-17.74241,25.45168,0.20577,,
Point-21,-17.71275,36.55544,0.20577,,
Point-22,-6.61199,36.52475,0.20577,,
Midpoint-8,-17.72758,31.00356,0.20577,,
Midpoint-9,-12.16237,36.5401,0.20577,,
Point-23,-32.0497,8.10431,0.20527,,
Point-24,-20.94444,8.05986,0.20527,,
Point-25,-20.99089,-3.0347,0.20527,,
Midpoint-10,-26.49707,8.08208,0.20527,,
Midpoint-11,-20.96766,2.51258,0.20527,,
Point-26,-19.04347,8.05143,0.20487,,
Point-27,-7.93921,8.01093,0.20487,,
Point-28,-7.98372,-3.08937,0.20487,,
Midpoint-12,-13.49134,8.03118,0.20487,,
Midpoint-13,-7.96146,2.46078,0.20487,,
Point-29,-32.09607,-4.89974,0.20447,,
Point-30,-20.99902,-4.94427,0.20447,,
Point-31,-21.04158,-16.0462,0.20447,,
Midpoint-14,-26.54754,-4.92201,0.20447,,
Midpoint-15,-21.0203,-10.49524,0.20447,,
Point-32,-19.09086,-4.95088,0.20407,,
Point-33,-7.99137,-4.99731,0.20407,,
Point-34,-8.03563,-16.09524,0.20407,,
Midpoint-16,-13.54112,-4.97409,0.20407,,
Midpoint-17,-8.0135,-10.54627,0.20407,,
Point-35,7.96989,7.95009,0.20367,,
Point-36,19.07158,7.90557,0.20367,,
Point-37,19.03513,-3.18789,0.20367,,
Midpoint-18,13.52074,7.92783,0.20367,,
Midpoint-19,19.05335,2.35884,0.20367,,
Point-38,20.9758,7.89635,0.20327,,
Point-39,32.08064,7.85583,0.20327,,
Point-40,32.03616,-3.24398,0.20327,,
Midpoint-21,26.52822,7.87609,0.20327,,
Midpoint-22,32.0584,2.30592,0.20327,,
Point-41,7.92186,-5.05332,0.20287,,
Point-42,19.02286,-5.10362,0.20287,,
Point-43,18.97642,-16.19848,0.20287,,
Midpoint-23,13.47236,-5.07847,0.20287,,
Midpoint-24,18.99964,-10.65105,0.20287,,
Point-44,20.92896,-5.10751,0.20247,,
Point-45,32.03122,-5.15399,0.20247,,
Point-46,31.98858,-16.2582,0.20237,,
Midpoint-25,26.48009,-5.13075,0.20247,,
Midpoint-26,32.0099,-10.70609,0.20242,,
